nrk.no,5723
aftenposten.no,3177
dagbladet.no,2509
vg.no,2475
tv2.no,939
nettavisen.no,847
blogspot.no,761
bt.no,738
thelocal.no,707
e24.no,653
google.no,539
dn.no,453
adressa.no,397
ba.no,340
dagsavisen.no,295
p3.no,283
klassekampen.no,281
abcnyheter.no,248
forskning.no,242
priv.no,214
vgtv.no,206
aftenbladet.no,172
osloby.no,170
digi.no,165
newsinenglish.no,157
blogg.no,138
mnmt.no,137
tu.no,131
morgenbladet.no,127
finn.no,125
uio.no,121
hegnar.no,115
nordlys.no,114
na24.no,111
nrkbeta.no,108
eurosport.no,94
pressfire.no,90
tnp.no,90
dinside.no,79
budstikka.no,75
document.no,71
side3.no,67
minervanett.no,67
idg.no,66
universitetsavisa.no,65
fvn.no,64
fotball.no,63
resett.no,62
frifagbevegelse.no,61
steigan.no,61
tek.no,59
dt.no,59
regjeringen.no,57
ntnu.no,56
vl.no,55
dusken.no,53
smp.no,51
itavisen.no,49
norwaypost.no,49
theforeigner.no,49
uib.no,48
tjen-folket.no,47
rbk.no,47
itromso.no,46
tacky.no,45
dbtv.no,44
hardware.no,43
artige.no,42
yr.no,41
tv2nyhetene.no,41
gamer.no,40
rb.no,40
nattogdag.no,37
vartoslo.no,36
db.no,35
hoysater.no,34
side2.no,33
journalisten.no,32
aldrimer.no,31
rights.no,31
kjendis.no,31
universitas.no,30
ssb.no,28
jakoblind.no,28
politiforum.no,28
dvb.no,28
rbnett.no,28
tb.no,28
komplett.no,27
skiinfo.no,27
ta.no,26
gemini.no,26
kommune.no,25
nationen.no,25
fanaposten.no,25
fritanke.no,24
faktisk.no,24
5080.no,24
an.no,24
lekgodt.no,24
nyemeninger.no,23
united.no,23
medier24.no,22
filternyheter.no,22
f-b.no,22
piratpartiet.no,22
josimar.no,21
radikalportal.no,21
h-a.no,21
forskningsradet.no,21
moldefk.no,20
varden.no,20
stortinget.no,19
rogalandsavis.no,19
bildr.no,19
godset.no,19
agendamagasin.no,18
stabak.no,18
dagensmedisin.no,17
dagen.no,17
h-avis.no,17
bodonu.no,17
onarki.no,17
finnmarkdagblad.no,17
vif-fotball.no,17
filmweb.no,16
norges-bank.no,16
aasanetidende.no,16
nb.no,15
bekk.no,15
forbrukerradet.no,15
ifinnmark.no,14
p4.no,14
altaposten.no,14
uit.no,14
heltnormalt.no,14
securesolutions.no,14
smidsrod.no,14
dinepenger.no,14
ranablad.no,13
frieord.no,13
nordnorskdebatt.no,13
framtiden.no,13
ht.no,13
javazone.no,13
vredens-gnag.no,12
mdg.no,12
dagogtid.no,12
klikk.no,12
sagat.no,12
online.no,12
vgc.no,11
altomfotball.no,11
oa.no,11
moss-avis.no,11
elkjop.no,11
t-a.no,11
gamersleague.no,11
grida.no,11
ingebrigtsen.no,11
hordaland.no,10
nrc.no,10
bladet.no,10
ringblad.no,10
found.no,10
vgb.no,10
brann.no,10
tidsskriftet.no,10
samfundet.no,10
firda.no,10
framtida.no,10
fagbladet.no,9
sprakradet.no,9
nytid.no,9
holderdeord.no,9
bouvet.no,9
sb.no,9
naggum.no,9
namdalsavisa.no,9
dittoslo.no,9
cjohansen.no,9
gamereactor.no,9
agderposten.no,9
linpro.no,9
nbim.no,9
hamberg.no,9
elbil.no,8
ha-halden.no,8
venstre.no,8
origo.no,8
viking-fk.no,8
gigacon.no,8
cw.no,8
binaerpilot.no,8
geist.no,8
lovdata.no,8
dota2.no,8
dagensit.no,8
iterate.no,8
gd.no,8
rus.no,8
manifesttidsskrift.no,8
sandefjordfotball.no,8
rett24.no,8
makingview.no,8
bitremenn.no,8
khrono.no,8
flatmap.no,8
monokrom.no,8
motor.no,7
minmote.no,7
mnocdn.no,7
nav.no,7
java.no,7
gettyimages.no,7
viking.no,7
procycling.no,7
stv.no,7
styrkeloft.no,7
ektenyheter.no,7
sunnhordland.no,7
idmedia.no,7
olportalen.no,7
fhi.no,7
glomdalen.no,7
lofotposten.no,7
aafk.no,7
utrop.no,7
nuug.no,7
sol.no,6
abelprisen.no,6
studyinnorway.no,6
npolar.no,6
linux.no,6
studvest.no,6
vestnytt.no,6
siste.no,6
ostlendingen.no,6
yes.no,6
pst.no,6
hiof.no,6
netonnet.no,6
ife.no,6
sintef.no,6
lokalradio.no,6
digitaltmuseum.no,6
normal.no,6
timwendelboe.no,6
toi.no,6
host1.no,6
lsk.no,6
udi.no,6
rbkweb.no,6
geekhouse.no,6
abelprize.no,6
epla.no,6
politi.no,6
borud.no,6
sysla.no,5
energiogklima.no,5
norwaychess.no,5
bygg.no,5
nettserier.no,5
forsvaret.no,5
sandnesulf.no,5
futurelibrary.no,5
pollofpolls.no,5
hockey.no,5
yayponies.no,5
ez.no,5
webaksess.no,5
offshore.no,5
underskrift.no,5
sa.no,5
0p.no,5
hackeriet.no,5
motmakt.no,5
op.no,5
jodal.no,5
freak.no,5
amnesty.no,5
holbergprisen.no,5
sc2.no,5
nhh.no,5
nord24.no,5
saunders.no,5
newsweb.no,5
ellens.no,5
teknofil.no,5
smaalenene.no,5
oblad.no,5
zooom.no,5
snl.no,5
9m.no,5
niku.no,5
hnytt.no,5
bergenolfestival.no,5
cdon.no,5
forsvaretsforum.no,5
finnmarken.no,5
hja.no,5
skyss.no,5
start.no,5
